t (s),V (mV),,,lnV,t,,(lnV)^2,t^2,t*lnV
321.061,11.9646,,,2.48195228996156,321.061,,6.16008716964545,103080.165721,796.85808416735
322.061,11.9564,,,2.4812666998674,322.061,,6.15668443587088,103723.287721,799.119234625996
323.062,11.9485,,,2.4806057474863,323.062,,6.15340487446204,104369.055844,801.389453994417
324.062,11.9395,,,2.47985223104073,324.062,,6.14966708779768,105016.179844,803.625873695521
325.062,11.9318,,,2.47920710486268,325.062,,6.14646786880158,105665.303844,805.896019920872
326.062,11.9242,,,2.47856994857016,326.062,,6.1433089899551,106316.427844,808.167474570685
327.062,11.9156,,,2.47784846597609,327.062,,6.13973302034008,106969.551844,810.410074979073
328.062,11.9077,,,2.47718524968871,328.062,,6.13644676127533,107624.675844,812.670347383379
329.061,11.9016,,,2.4766728448609,329.061,,6.13390838047137,108281.141721,814.976443002772
330.061,11.8899,,,2.47568930023839,330.061,,6.12903751131485,108940.263721,817.128486125983
331.061,11.8823,,,2.47504989788952,331.061,,6.12587199704292,109601.385721,819.392494245202
332.061,11.8745,,,2.4743932437711,332.061,,6.12262192482004,110264.507721,821.649494919874
333.061,11.8672,,,2.47377829200016,333.061,,6.11957903797121,110929.629721,823.919071711864
334.061,11.8579,,,2.4729943121243,334.061,,6.11570086779915,111596.751721,826.130952902556
335.061,11.8506,,,2.47237849921073,335.061,,6.1126554433595,112265.873721,828.397612324046
336.062,11.8422,,,2.47166942300598,336.062,,6.10914973662271,112937.667844,830.634169634236
337.061,11.8342,,,2.470993644568,337.061,,6.10580959149546,113610.117721,832.875588831736
338.062,11.8251,,,2.47022439100186,338.062,,6.10200854190051,114285.915844,835.08899807087
339.062,11.8183,,,2.46964917760721,339.062,,6.09916706045598,114963.039844,837.364189457857
340.061,11.8093,,,2.46888735664907,340.061,,6.09540477982164,115641.483721,839.57230338944
341.062,11.8014,,,2.46821816850177,341.062,,6.09210092732221,116323.287844,841.815424985549
342.062,11.7935,,,2.46754853224179,342.062,,6.08879575896863,117006.411844,844.054586035692
343.062,11.7861,,,2.46692087102252,343.062,,6.08569858388653,117691.535844,846.306807854729
344.062,11.7774,,,2.46618244078972,344.062,,6.08205583125954,118378.659844,848.519662942993
345.061,11.7699,,,2.46554542505937,345.061,,6.0789142430312,119067.093721,850.763569916412
346.062,11.7607,,,2.46476346450853,346.062,,6.07505893597611,119758.907844,852.960974054752
347.061,11.7528,,,2.46409151007408,347.061,,6.07174697001916,120451.337721,855.19006357782
348.061,11.745,,,2.46342761811088,348.061,,6.06847562967143,121146.459721,857.42308018729
349.062,11.7368,,,2.4627292048433,349.062,,6.0650351363881,121844.279844,859.645181701011
350.062,11.7284,,,2.46201325097469,350.062,,6.06150924797497,122543.403844,861.857282662702
351.061,11.721,,,2.46138210474104,351.061,,6.05840186553945,123243.825721,864.095263072495
352.061,11.7121,,,2.46062249543387,352.061,,6.05466306503521,123946.947721,866.289216364944
353.062,11.7046,,,2.45998192692879,353.062,,6.05151108081629,124652.775844,868.526139085333
